_id,Uid,Order Id,Status,Amount,Gst,UTC Time,gurujiUser,Gateway,Mode,totalAmount,ISTDate
66a60570dc744deeefd037c1,264085,order_OdzWPLzOLXJfRo,captured,30,5.4,2024-07-28T08:46:40.566Z,FALSE,Razorpay,app,35.4,2024-07-28T14:16:40.566Z
66a60620dc744deeefd0589f,97637,order_OdzZVC4AgRkgqz,captured,230,36,2024-07-28T08:49:36.359Z,FALSE,Razorpay,app,266,2024-07-28T14:19:36.359Z
66a607d4dc744deeefd0b8b0,264133,order_OdzhAxN97haSx0,captured,230,36,2024-07-28T08:56:52.179Z,FALSE,Razorpay,web,266,2024-07-28T14:26:52.179Z
66a6084bdc744deeefd0cb0e,70133,order_OdzjGr4T0hIIQG,captured,1,0.18,2024-07-28T08:58:51.180Z,FALSE,Razorpay,app,1.18,2024-07-28T14:28:51.180Z
66a60966dc744deeefd110f9,96129,order_OdzoG9xKSF2uHW,captured,625,90,2024-07-28T09:03:34.545Z,FALSE,Razorpay,app,715,2024-07-28T14:33:34.545Z
66a60a9adc744deeefd16e9b,264133,order_OdztgQUj4dTINl,captured,230,36,2024-07-28T09:08:42.608Z,FALSE,Razorpay,web,266,2024-07-28T14:38:42.608Z
66a60acddc744deeefd176ff,89623,order_OdzuaVIqCK1GfD,captured,200,36,2024-07-28T09:09:33.984Z,TRUE,Razorpay,ios,236,2024-07-28T14:39:33.984Z
66a60d8ddc744deeefd21f11,264155,order_Oe06yG8ISpJiNt,captured,1,0.18,2024-07-28T09:21:17.350Z,FALSE,Razorpay,app,1.18,2024-07-28T14:51:17.350Z
66a60e09dc744deeefd25048,184690,order_Oe09A60FY6J9tN,captured,575,90,2024-07-28T09:23:21.800Z,TRUE,Razorpay,app,665,2024-07-28T14:53:21.800Z
66a60e60dc744deeefd26166,95453,order_Oe0AgY6qVPbqM9,captured,500,90,2024-07-28T09:24:48.328Z,TRUE,Razorpay,app,590,2024-07-28T14:54:48.328Z
66a60ebbdc744deeefd27643,89623,order_Oe0CHzJnyumF2L,captured,200,36,2024-07-28T09:26:19.436Z,TRUE,Razorpay,ios,236,2024-07-28T14:56:19.436Z
66a61009dc744deeefd2c185,96129,order_Oe0IAc4QVfU5EL,captured,575,90,2024-07-28T09:31:53.472Z,FALSE,Razorpay,app,665,2024-07-28T15:01:53.472Z
66a611e1dc744deeefd330ca,264155,order_Oe0QTgOGigkFzw,captured,75,13.5,2024-07-28T09:39:45.358Z,FALSE,Razorpay,app,88.5,2024-07-28T15:09:45.358Z
66a61212dc744deeefd34642,144180,order_Oe0RLpCo2YFdVx,captured,230,36,2024-07-28T09:40:34.946Z,TRUE,Razorpay,app,266,2024-07-28T15:10:34.946Z
66a6122edc744deeefd35286,95453,order_Oe0RpdmnbGTXqb,captured,500,90,2024-07-28T09:41:02.263Z,TRUE,Razorpay,app,590,2024-07-28T15:11:02.263Z
66a6123edc744deeefd359f6,260303,order_Oe0S7iTgc3vY1V,captured,1,0.18,2024-07-28T09:41:18.819Z,FALSE,Razorpay,app,1.18,2024-07-28T15:11:18.819Z
66a61343dc744deeefd39cae,236491,order_Oe0WiDTcy5VylP,captured,230,36,2024-07-28T09:45:39.461Z,FALSE,Razorpay,app,266,2024-07-28T15:15:39.461Z
66a61372dc744deeefd3a698,263700,order_Oe0XXMbo5vzydi,captured,1,0.18,2024-07-28T09:46:26.318Z,FALSE,Razorpay,app,1.18,2024-07-28T15:16:26.318Z
66a61a2fdc744deeefd4e460,95453,order_Oe11uCfOwQrd3L,captured,250,36,2024-07-28T10:15:11.247Z,TRUE,Razorpay,app,286,2024-07-28T15:45:11.247Z
66a61e8adc744deeefd5965e,44367,order_Oe1LXxenRYBdbr,captured,230,36,2024-07-28T10:33:46.877Z,FALSE,Razorpay,ios,266,2024-07-28T16:03:46.877Z
66a62334dc744deeefd660da,116586,order_Oe1gZCvUm1tDeg,captured,250,36,2024-07-28T10:53:40.822Z,TRUE,Razorpay,ios,286,2024-07-28T16:23:40.822Z
66a623aadc744deeefd68299,104920,order_Oe1idTcdBAfAkE,captured,200,36,2024-07-28T10:55:38.335Z,TRUE,Razorpay,ios,236,2024-07-28T16:25:38.335Z
66a6244ddc744deeefd6b339,264239,order_Oe1lVmxQCNIdjn,captured,230,36,2024-07-28T10:58:21.692Z,FALSE,Razorpay,app,266,2024-07-28T16:28:21.692Z
66a62518dc744deeefd6f17e,112639,order_Oe1p58zu8AB53n,captured,200,36,2024-07-28T11:01:44.484Z,TRUE,Razorpay,app,236,2024-07-28T16:31:44.484Z
66a626e6dc744deeefd76b11,180723,order_Oe1xDN2O6UocL5,captured,1,0.18,2024-07-28T11:09:26.424Z,TRUE,Razorpay,app,1.18,2024-07-28T16:39:26.424Z
66a6272cdc744deeefd77cee,264250,order_Oe1ySHgqCnfMBj,captured,1,0.18,2024-07-28T11:10:36.883Z,FALSE,Razorpay,app,1.18,2024-07-28T16:40:36.883Z
66a6283ddc744deeefd7cf6d,180723,order_Oe23FZWXsYHHMP,captured,30,5.4,2024-07-28T11:15:09.238Z,TRUE,Razorpay,app,35.4,2024-07-28T16:45:09.238Z
66a6283ddc744deeefd7cf80,104920,order_Oe23FidKsbkKhe,captured,200,36,2024-07-28T11:15:09.377Z,TRUE,Razorpay,ios,236,2024-07-28T16:45:09.377Z
66a6284edc744deeefd7dba9,112639,order_Oe23YHo8CHRf9a,captured,200,36,2024-07-28T11:15:26.386Z,TRUE,Razorpay,app,236,2024-07-28T16:45:26.386Z
66a6286ddc744deeefd7e24c,32548,order_Oe246fbEkMQ5TE,captured,230,36,2024-07-28T11:15:57.891Z,TRUE,Razorpay,app,266,2024-07-28T16:45:57.891Z
66a62924dc744deeefd81e9d,228445,order_Oe27JxWBGOuGra,captured,200,36,2024-07-28T11:19:00.459Z,FALSE,Razorpay,app,236,2024-07-28T16:49:00.459Z
66a62d7adc744deeefd9c0ae,109674,order_Oe2QrirB0jqC1x,captured,230,36,2024-07-28T11:37:30.596Z,TRUE,Razorpay,app,266,2024-07-28T17:07:30.596Z
66a62df6dc744deeefd9d809,9683,order_Oe2T2y8bVkL3Cq,captured,200,36,2024-07-28T11:39:34.498Z,TRUE,Razorpay,app,236,2024-07-28T17:09:34.498Z
66a62e9bdc744deeefd9f853,117554,order_Oe2VwscE0EX3Ur,captured,575,90,2024-07-28T11:42:19.327Z,TRUE,Razorpay,app,665,2024-07-28T17:12:19.327Z
66a62f27dc744deeefda0fe0,252479,order_Oe2YQMamKZHlVk,captured,200,36,2024-07-28T11:44:39.933Z,FALSE,Razorpay,app,236,2024-07-28T17:14:39.933Z
66a630eddc744deeefda732a,264284,order_Oe2gPWQq5ROmnU,captured,1,0.18,2024-07-28T11:52:13.565Z,FALSE,Razorpay,app,1.18,2024-07-28T17:22:13.565Z
66a63344dc744deeefdb1f80,250015,order_Oe2qx8NCt20dt8,captured,30,5.4,2024-07-28T12:02:12.357Z,FALSE,Razorpay,app,35.4,2024-07-28T17:32:12.357Z
66a6358bdc744deeefdb9366,78965,order_Oe31DlBe9hHUls,captured,230,36,2024-07-28T12:11:55.592Z,FALSE,Razorpay,app,266,2024-07-28T17:41:55.592Z
66a637cbdc744deeefdbd66d,264309,order_Oe3BLyBxhucqjA,captured,1,0.18,2024-07-28T12:21:31.117Z,FALSE,Razorpay,ios,1.18,2024-07-28T17:51:31.117Z
66a63843dc744deeefdbf149,264028,order_Oe3DTLQcQ7V0iL,captured,1,0.18,2024-07-28T12:23:31.474Z,FALSE,Razorpay,app,1.18,2024-07-28T17:53:31.474Z
66a63ca4dc744deeefdcd81f,254937,order_Oe3XD5qVUUKpqX,captured,50,9,2024-07-28T12:42:12.593Z,FALSE,Razorpay,app,59,2024-07-28T18:12:12.593Z
66a63cc5dc744deeefdcda32,141944,order_Oe3XmZkCuERqnb,captured,500,90,2024-07-28T12:42:45.097Z,TRUE,Razorpay,ios,590,2024-07-28T18:12:45.097Z
66a64231dc744deeefde2e70,942,order_Oe3wEXBRZd32Qb,captured,250,36,2024-07-28T13:05:53.931Z,FALSE,Razorpay,app,286,2024-07-28T18:35:53.931Z
66a643bedc744deeefde6650,29373,order_Oe43Dho5NRLlN6,captured,1,0.18,2024-07-28T13:12:30.760Z,FALSE,Razorpay,app,1.18,2024-07-28T18:42:30.760Z
66a644d1dc744deeefde8365,264040,order_Oe483DqyPBMGIC,captured,1,0.18,2024-07-28T13:17:05.160Z,FALSE,Razorpay,app,1.18,2024-07-28T18:47:05.160Z
66a64755dc744deeefdf1416,110044,order_Oe4JOmRqKt1Wd0,captured,200,36,2024-07-28T13:27:49.711Z,TRUE,Razorpay,ios,236,2024-07-28T18:57:49.711Z
66a647e2dc744deeefdf2d47,264364,order_Oe4Ls5ILqO41ZI,captured,200,36,2024-07-28T13:30:10.161Z,FALSE,Razorpay,app,236,2024-07-28T19:00:10.161Z
66a64a0fdc744deeefe01f81,2735,order_Oe4VgaDtabAiye,captured,1000,180,2024-07-28T13:39:27.622Z,TRUE,Razorpay,ios,1180,2024-07-28T19:09:27.622Z
66a64a77dc744deeefe0305c,110044,order_Oe4XVoZtAcTHG2,captured,200,36,2024-07-28T13:41:11.358Z,TRUE,Razorpay,ios,236,2024-07-28T19:11:11.358Z
66a64a90dc744deeefe039c3,437,order_Oe4Xx9NVDMX8JJ,captured,800,144,2024-07-28T13:41:36.400Z,TRUE,Razorpay,app,944,2024-07-28T19:11:36.400Z
66a64b63dc744deeefe07b9b,262597,order_Oe4bf3u0M39jMg,captured,1,0.18,2024-07-28T13:45:07.029Z,FALSE,Razorpay,app,1.18,2024-07-28T19:15:07.029Z
66a64c99dc744deeefe0c407,264387,order_Oe4h8BfoTUWucE,captured,1,0.18,2024-07-28T13:50:17.713Z,FALSE,Razorpay,app,1.18,2024-07-28T19:20:17.713Z
66a64dc4dc744deeefe0e493,264389,order_Oe4mO8Getjfz2P,captured,1,0.18,2024-07-28T13:55:16.322Z,FALSE,Razorpay,app,1.18,2024-07-28T19:25:16.322Z
66a64ea5dc744deeefe0fb65,437,order_Oe4qLWMOmMMO50,captured,575,90,2024-07-28T13:59:01.131Z,TRUE,Razorpay,app,665,2024-07-28T19:29:01.131Z
66a64ed1dc744deeefe10053,2735,order_Oe4r82av9jTRqk,captured,1000,180,2024-07-28T13:59:45.581Z,TRUE,Razorpay,ios,1180,2024-07-28T19:29:45.581Z
66a6505adc744deeefe15882,2628,order_Oe4y3Iee4KKPeF,captured,250,36,2024-07-28T14:06:18.838Z,TRUE,Razorpay,app,286,2024-07-28T19:36:18.838Z
66a65286dc744deeefe18afd,95453,order_Oe57pLkeNiFhbV,captured,250,36,2024-07-28T14:15:34.063Z,TRUE,Razorpay,app,286,2024-07-28T19:45:34.063Z
66a65432dc744deeefe1f8cc,12604,order_Oe5FMvX2lgLdsI,captured,500,90,2024-07-28T14:22:42.423Z,FALSE,Razorpay,app,590,2024-07-28T19:52:42.423Z
66a65481dc744deeefe20211,2960,order_Oe5Gl2NsYDNGDo,captured,575,90,2024-07-28T14:24:01.312Z,TRUE,Razorpay,ios,665,2024-07-28T19:54:01.312Z
66a65a70dc744deeefe4120e,259877,order_Oe5hVpQwfouXyz,captured,200,36,2024-07-28T14:49:20.984Z,FALSE,Razorpay,app,236,2024-07-28T20:19:20.984Z
66a65abadc744deeefe42cca,89623,order_Oe5ioAGvJlOK0K,captured,200,36,2024-07-28T14:50:34.586Z,TRUE,Razorpay,ios,236,2024-07-28T20:20:34.586Z
66a65acfdc744deeefe436c0,4606,order_Oe5jBAinScH1kM,captured,500,90,2024-07-28T14:50:55.660Z,TRUE,Razorpay,app,590,2024-07-28T20:20:55.660Z
66a65b6fdc744deeefe498d1,123273,order_Oe5m06WpZ3bCGO,captured,920,144,2024-07-28T14:53:35.921Z,TRUE,Razorpay,ios,1064,2024-07-28T20:23:35.921Z
66a65c14dc744deeefe4bf9c,110279,order_Oe5otb3fmAsDIg,captured,230,36,2024-07-28T14:56:20.361Z,TRUE,Razorpay,app,266,2024-07-28T20:26:20.361Z
66a65cbfdc744deeefe4e53a,238688,order_Oe5rulluEApKsy,captured,1,0.18,2024-07-28T14:59:11.836Z,FALSE,Razorpay,ios,1.18,2024-07-28T20:29:11.836Z
66a65ccedc744deeefe4ea81,95671,order_Oe5sAxUIKaXcPZ,captured,250,36,2024-07-28T14:59:26.669Z,FALSE,Razorpay,app,286,2024-07-28T20:29:26.669Z
66a65d65dc744deeefe52fd7,96346,order_Oe5upB8uiLMWEH,captured,575,90,2024-07-28T15:01:57.115Z,TRUE,Razorpay,app,665,2024-07-28T20:31:57.115Z
66a65ea9dc744deeefe5752f,95671,order_Oe60XlVM6LxUyu,captured,250,36,2024-07-28T15:07:21.973Z,FALSE,Razorpay,app,286,2024-07-28T20:37:21.973Z
66a65efcdc744deeefe58ed5,259877,order_Oe61zkadfw0V7q,captured,200,36,2024-07-28T15:08:44.402Z,FALSE,Razorpay,app,236,2024-07-28T20:38:44.402Z
66a65f92dc744deeefe5bef3,29373,order_Oe64dhsA0OOXuc,captured,30,5.4,2024-07-28T15:11:14.618Z,FALSE,Razorpay,app,35.4,2024-07-28T20:41:14.618Z
66a66023dc744deeefe5cd95,255301,order_Oe67BxFyAf9ONB,captured,575,90,2024-07-28T15:13:39.586Z,FALSE,Razorpay,app,665,2024-07-28T20:43:39.586Z
66a660fadc744deeefe62a1a,95671,order_Oe6AykF21wsxca,captured,230,36,2024-07-28T15:17:14.683Z,FALSE,Razorpay,app,266,2024-07-28T20:47:14.683Z
66a662b3dc744deeefe6ae5c,119559,order_Oe6IjzWL5ljZ9h,captured,230,36,2024-07-28T15:24:35.569Z,TRUE,Razorpay,ios,266,2024-07-28T20:54:35.569Z
66a662e0dc744deeefe6b7d5,95671,order_Oe6JWBgzAqAV6A,captured,230,36,2024-07-28T15:25:20.202Z,FALSE,Razorpay,app,266,2024-07-28T20:55:20.202Z
66a66313dc744deeefe6c59b,84354,order_Oe6KQT8nIQ28Cj,captured,250,36,2024-07-28T15:26:11.285Z,TRUE,Razorpay,app,286,2024-07-28T20:56:11.285Z
66a6637cdc744deeefe6f2ea,255301,order_Oe6MHBD2jL5Y5k,captured,575,90,2024-07-28T15:27:56.379Z,FALSE,Razorpay,app,665,2024-07-28T20:57:56.379Z
66a6638adc744deeefe6f889,437,order_Oe6MWFrjt3NKNS,captured,575,90,2024-07-28T15:28:10.185Z,TRUE,Razorpay,app,665,2024-07-28T20:58:10.185Z
66a664e1dc744deeefe7c3b6,95671,order_Oe6SYoikeIuPYJ,captured,230,36,2024-07-28T15:33:53.343Z,FALSE,Razorpay,app,266,2024-07-28T21:03:53.343Z
66a66641dc744deeefe816ec,264417,order_Oe6YkxpfBWnNgX,captured,1,0.18,2024-07-28T15:39:45.264Z,FALSE,Razorpay,app,1.18,2024-07-28T21:09:45.264Z
66a66675dc744deeefe8434d,179270,order_Oe6Zfp9ZUWB2cI,captured,248,36,2024-07-28T15:40:37.355Z,FALSE,Razorpay,ios,284,2024-07-28T21:10:37.355Z
66a666dadc744deeefe86b7f,95671,order_Oe6bRrLcqmoByS,captured,500,90,2024-07-28T15:42:18.163Z,FALSE,Razorpay,app,590,2024-07-28T21:12:18.163Z
66a667e9dc744deeefe8b9c7,112639,order_Oe6gEAIY3kQEv1,captured,200,36,2024-07-28T15:46:49.617Z,TRUE,Razorpay,app,236,2024-07-28T21:16:49.617Z
66a667f1dc744deeefe8baff,4435,order_Oe6gMZM11THPcr,captured,230,36,2024-07-28T15:46:57.317Z,FALSE,Razorpay,app,266,2024-07-28T21:16:57.317Z
66a667f5dc744deeefe8bb51,255301,order_Oe6gRA6xT6SVTe,captured,575,90,2024-07-28T15:47:01.525Z,FALSE,Razorpay,app,665,2024-07-28T21:17:01.525Z
66a6681fdc744deeefe8c200,195694,order_Oe6hBRiRmGvCmQ,captured,1000,180,2024-07-28T15:47:43.926Z,FALSE,Razorpay,app,1180,2024-07-28T21:17:43.926Z
66a66aaadc744deeefe9684e,95671,order_Oe6se5ds6jIZvx,captured,250,36,2024-07-28T15:58:34.970Z,FALSE,Razorpay,app,286,2024-07-28T21:28:34.970Z
66a66c84dc744deeefe9e920,179270,order_Oe70ykITayZgdV,captured,200,36,2024-07-28T16:06:28.297Z,FALSE,Razorpay,ios,236,2024-07-28T21:36:28.297Z
66a66dbedc744deeefea6f70,95671,order_Oe76VvKEMBDZmJ,captured,500,90,2024-07-28T16:11:42.693Z,FALSE,Razorpay,app,590,2024-07-28T21:41:42.693Z
66a66e55dc744deeefea9cd8,264486,order_Oe79AYuvrHemnb,captured,1,0.18,2024-07-28T16:14:13.524Z,FALSE,Razorpay,app,1.18,2024-07-28T21:44:13.524Z
66a6729ddc744deeefebfb2d,206190,order_Oe7SScwR2iFcJV,captured,30,5.4,2024-07-28T16:32:29.278Z,FALSE,Razorpay,app,35.4,2024-07-28T22:02:29.278Z
66a6734fdc744deeefec2362,5667,order_Oe7VbQrcfVkDWN,captured,1000,180,2024-07-28T16:35:27.747Z,TRUE,Razorpay,app,1180,2024-07-28T22:05:27.747Z
66a67354dc744deeefec241e,236972,order_Oe7VgELhbD5S7Z,captured,230,36,2024-07-28T16:35:32.140Z,FALSE,Razorpay,app,266,2024-07-28T22:05:32.140Z
66a674f2dc744deeefeca168,180329,order_Oe7cytFSQUQOd2,captured,500,90,2024-07-28T16:42:26.837Z,TRUE,Razorpay,app,590,2024-07-28T22:12:26.837Z
66a67965dc744deeefee0dcf,119559,order_Oe7x1czv2IVVPC,captured,230,36,2024-07-28T17:01:25.356Z,TRUE,Razorpay,ios,266,2024-07-28T22:31:25.356Z
66a67a71dc744deeefee7484,437,order_Oe81kTdDnLWfha,captured,575,90,2024-07-28T17:05:53.645Z,TRUE,Razorpay,app,665,2024-07-28T22:35:53.645Z
